palette name,pictures,rose,red,orange,yellow,lime,green,teal,cyan,azure,blue,purple,magenta
coolwarm,78,3,46,0,0,0,0,0,0,0,28,2,11
copper,612,0,42,597,4,0,0,0,0,0,0,0,0
corkscrew-25,662,0,0,0,0,0,0,2,608,176,21,0,0
corporeal-25,514,0,0,0,0,0,0,0,8,506,21,0,0
cosmic-forces-25,637,2,5,1,0,0,0,0,0,0,626,55,0
creeping-frost-25,641,0,0,0,0,0,0,0,1,615,191,0,0
crisis-25,624,0,195,268,4,0,0,0,8,326,2,0,0
crystal-flood-25,523,0,24,350,468,2,0,0,0,0,0,0,0
cubehelix,569,9,2,4,1,6,61,8,2,9,23,72,129
curlv,732,176,246,54,0,0,0,0,0,0,4,141,279
deadly-nightshade-25,250,0,0,0,2,0,0,0,0,0,213,0,0
death-cd-25,558,0,0,0,0,0,0,0,0,543,58,0,0
debutalis,508,1,266,110,209,0,0,0,0,0,0,1,0
deepsea-life-25,615,0,0,0,0,0,0,0,0,7,609,34,0
delphic-oracle-25,549,287,510,6,0,0,0,0,0,0,0,0,2
desert-nights-25,616,0,0,41,609,1,0,0,0,0,0,0,0
desire-framed-25,573,0,102,555,4,1,0,0,0,0,0,0,0
dessert-union-25,703,5,247,667,155,0,0,0,0,0,0,0,1
dimensionality-25,556,0,0,0,0,302,539,118,0,0,0,0,0
dinlappi,563,36,7,2,6,0,0,0,0,0,0,1,518
dolphin-dance-25,710,0,0,0,0,0,0,0,51,694,254,0,0
doublevision,542,1,1,0,0,1,2,3,25,204,1,71,281
dreamcatcher-25,442,0,0,0,9,78,46,105,137,161,1,0,0
duckol,493,1,0,0,205,4,1,0,140,3,4,74,48
dynamo-25,514,0,0,0,2,256,499,28,1,0,0,0,0
eagles-25,509,0,0,313,354,7,0,0,0,0,0,0,0
early-may-25,555,0,0,10,124,65,127,359,0,0,0,0,0
edge-25,457,0,9,329,301,3,0,0,0,0,0,0,0
eirene-25,502,0,0,1,174,1,1,1,0,142,322,1,0
embrace-25,586,0,0,0,0,42,577,0,0,0,0,0,0
emergence,583,244,15,0,0,0,0,0,0,0,158,263,164
ephemera-25,283,0,0,0,7,1,0,58,270,2,0,0,0
etheric-frontier-25,637,145,118,158,1,0,0,4,34,1,0,106,64
evening-radiance-25,697,0,0,0,0,0,0,0,0,0,1,691,28
exile-25,784,0,0,0,0,0,12,683,313,75,0,0,0
fairys-hollow-25,563,0,0,0,4,156,1,0,1,15,82,355,0
fantasy-25,758,226,180,51,1,0,0,0,0,0,0,65,435
fiery-descent-25,740,0,0,0,0,0,0,0,376,317,150,46,59
flamed-25,523,0,24,386,278,1,0,0,0,0,0,0,0
flaming-wings-25,494,0,316,378,74,4,0,0,0,0,0,0,0
flit-25,555,0,0,0,0,529,523,0,0,0,0,0,0
flow-25,460,46,6,0,0,0,0,0,1,13,5,6,419
flyline,483,9,6,1,19,309,0,0,0,0,20,31,83
forestal,410,0,1,28,400,2,0,0,0,0,0,0,0
forgery-25,543,0,139,524,69,2,0,0,0,0,0,0,0
fractal_abstraction_lines_130499_2560x1600,928,0,0,0,0,0,0,0,0,0,922,64,0
fractal_flowers_abstract_104352_2560x1600,558,1,7,339,96,3,1,1,101,198,1,0,0
fractal_shine_stripes_130177_2560x1600,546,0,0,0,0,61,205,389,215,0,0,0,0
fractal_stripes_bends_lines_116839_2560x1600,582,0,377,526,8,3,0,0,0,0,0,0,0
fractalscape-25,804,0,0,0,0,1,109,722,66,90,6,0,0
freedor,533,0,0,0,0,0,530,84,0,0,0,0,0
fury-of-the-waves-25,463,0,451,145,5,0,0,0,0,0,0,0,0
garcya.us_fantasy_wallpaper074,488,0,0,0,242,477,4,0,0,0,0,0,0
gedoo,513,200,40,22,257,55,2,0,0,0,0,0,3
gemini-25,648,0,68,596,22,1,0,0,0,16,21,2,0
gist_earth,450,0,0,1,63,234,130,3,3,44,39,0,0
gist_heat,889,1,861,321,1,0,0,0,0,0,0,0,0
gist_rainbow,439,0,31,2,2,34,169,13,0,5,81,82,11
gist_stern,452,24,32,12,65,161,1,0,0,0,154,47,15
glassworks-25,744,0,137,437,96,75,159,31,0,0,0,0,0
glory-25,529,26,323,23,0,0,0,0,0,193,64,7,2
glowdon,614,0,35,211,192,108,2,0,1,102,31,0,0
gnuplot,480,64,95,139,41,0,0,0,0,0,0,163,53
gnuplot2,542,32,11,10,94,2,0,0,0,0,220,115,98
golden-egg-closeup-25,417,0,0,0,341,16,1,3,0,21,13,0,0
gossamer-25,719,0,0,0,0,0,1,1,1,524,632,0,0
grace-25,509,17,365,10,0,0,0,0,0,161,12,2,1
green-dragon-25,529,0,0,183,510,12,4,0,0,0,0,0,0
green-spine-25,615,0,0,0,0,210,604,0,0,0,0,0,0
gurundin,503,0,0,168,499,1,1,0,0,0,0,1,0
happy-hours-25,619,1,436,406,11,0,0,0,0,0,0,0,0
harbinger-25,528,1,303,34,253,1,0,0,0,0,0,0,0
hawthorn-25,477,21,0,0,0,0,1,213,184,4,1,25,164
hazy-summer-garden-25,373,0,0,15,360,14,0,0,0,0,0,0,0
heather-and-sage-25,579,0,0,0,0,0,0,40,82,54,165,368,0
hellid-25,415,0,24,361,188,43,0,0,0,0,0,0,0
helping-hands-25,547,0,2,514,210,2,0,0,0,0,0,0,0
hemispheres-25,447,0,0,0,81,246,24,188,13,0,0,0,0
hoarfrost-25,563,0,0,1,555,14,0,0,2,0,0,0,0
holey-trinity-25,659,250,0,0,0,0,0,1,49,252,196,13,10
hollow-worlds-25,661,0,19,313,583,5,0,0,0,0,0,0,0
hot,855,0,596,236,263,5,0,0,0,0,0,0,0
house-of-ivory-25,598,0,0,0,115,27,3,427,331,0,0,0,0
hsv,472,12,45,12,6,60,181,5,3,4,111,10,24
hyperborean-25,738,0,0,0,0,0,0,0,0,1,735,21,0
illusion-25,583,0,0,0,0,0,1,104,77,63,374,15,0
incursion-25,521,0,0,1,29,0,2,3,42,358,207,10,0
inferno,594,86,170,219,91,0,0,0,0,0,0,60,84
infinity-25,561,0,3,0,0,33,548,48,0,0,0,0,0
intermission-25,798,487,256,265,20,0,0,0,0,0,0,0,0
jadanti,892,301,884,0,1,0,0,0,0,0,0,0,0
jade-serpent-25,484,0,0,0,0,0,0,0,0,0,0,265,0
jet,537,0,91,51,38,55,25,3,4,12,208,5,1
jiradin,525,387,58,12,26,46,0,0,0,0,0,4,19
kirin-25,393,0,0,0,0,0,0,0,1,254,271,0,0
krinshinda,553,3,3,177,33,16,0,0,0,1,386,25,1
kyoto-lanterns-25,627,0,35,618,5,1,0,0,0,0,0,0,0
labani,497,190,0,0,0,0,268,23,0,0,0,0,27
lambent-25,542,135,329,0,1,0,0,1,56,127,2,0,4
lander,586,0,23,160,518,7,2,0,0,0,0,0,0
let-there-be-light-25,673,0,0,0,0,0,0,0,0,0,9,665,3
lethe-25,427,56,56,16,0,0,0,0,0,0,5,128,318
ley-lines-25,636,4,18,212,16,0,0,0,33,61,332,28,11
liquid-fire-25,454,10,182,226,116,0,0,0,0,0,32,19,4
locomotion-25,608,0,0,0,0,0,0,0,1,222,222,272,142
mSL22 - Imgur,579,0,0,0,0,329,518,17,2,3,33,0,0
magic-mushroom-25,475,81,1,0,0,0,0,0,5,37,261,81,116
magma,761,208,341,61,1,0,0,0,0,0,2,137,229
magnificat-25,506,0,2,44,276,12,1,22,197,1,0,0,0
malign-25,613,36,607,0,0,0,0,0,0,0,0,0,1
managua,471,10,50,140,14,0,0,0,1,128,125,14,13
mean-25,685,0,0,0,0,0,0,1,667,144,1,1,0
meditation-25,834,0,0,0,0,0,0,1,67,810,112,0,0
meloni,622,51,72,391,163,7,1,0,0,0,0,0,66
metal-emblem-25,558,55,233,38,254,2,0,0,0,0,0,2,0
metamorph-25,529,7,90,168,52,0,0,0,0,13,37,153,14
molten-25,36,0,8,34,12,0,0,0,0,0,0,0,0
moon-over-mandelbrot-25,692,0,0,0,5,1,0,0,0,0,579,235,38
morning-at-misty-vale-25,549,0,0,0,0,1,421,407,1,0,0,0,0
mossy-25,654,0,0,0,7,650,20,0,0,0,0,0,0
muswirla,528,0,14,306,6,0,0,5,40,158,3,0,0
necromancer-25,783,0,623,348,35,0,0,0,0,0,0,0,0
neptunes-garden-25,623,0,0,0,0,0,2,453,381,0,0,0,0
neuron-25,529,0,302,430,89,3,0,0,0,0,0,0,0
nightingale-25,422,27,336,28,0,0,0,0,0,0,63,13,2
nipy_spectral,495,0,48,19,54,118,127,3,0,6,76,7,16
no-mans-land-25,586,0,143,576,62,0,0,0,0,0,0,0,0
not-yet-lost-25,674,0,0,0,0,0,0,0,0,20,103,607,5
nova-25,743,0,501,408,194,1,0,0,0,0,0,0,0
ocean,692,0,0,0,0,0,57,5,173,638,8,0,0
of-strange-design-25,591,0,0,0,0,2,566,76,12,0,0,0,0
pacific-shore-25,632,0,0,10,244,0,0,0,1,181,359,6,0
paezing,913,0,0,0,0,0,0,0,29,605,175,224,107
pageantry-25,549,0,12,381,110,7,19,131,0,0,0,0,0
painted-day-25,753,0,0,0,0,0,3,552,368,86,24,0,0
pebbles-shore-light-25,448,0,66,436,0,0,0,0,0,0,0,0,0
peekaboo-25,530,0,0,0,0,0,0,0,447,51,0,0,0
phylum-25,639,0,0,0,0,1,635,2,0,0,0,0,0
pilgrim,777,0,17,555,608,0,0,0,0,0,0,0,0
pink,612,2,375,152,189,7,0,0,0,0,0,0,0
plasma,438,72,83,72,75,2,0,0,0,0,18,75,93
plummet-25,434,0,0,0,67,181,70,199,38,0,0,0,0
polished-25,660,0,0,0,0,397,630,16,0,0,0,0,0
portal-of-fire-25,475,0,468,314,0,0,0,0,0,0,0,0,0
quiet-waiting-25,528,0,0,3,218,357,164,4,0,0,1,0,0
radian,526,0,0,0,0,0,0,0,0,0,129,456,200
ragnetic_field,253,0,38,244,1,0,0,0,0,0,0,0,0
rainbow,461,1,83,59,9,13,31,23,5,28,77,25,5
rainbow-country-25,470,0,7,141,43,290,4,1,0,3,0,0,0
ransom-25,479,0,15,364,326,4,0,0,0,0,0,0,0
re-entry-25,625,31,49,350,2,0,0,0,0,0,2,250,25
red-octavo-25,622,2,357,554,145,0,0,0,0,0,0,0,0
reelati,613,0,0,0,0,338,148,8,10,98,158,0,0
rideon,735,243,12,0,0,0,0,0,0,0,0,419,354
riding-on-the-tide-25,645,10,42,132,21,0,0,0,0,0,318,162,36
rite-of-passage-25,81,0,18,78,6,0,0,0,0,0,0,0,0
riven-25,549,0,64,468,237,2,0,0,0,0,0,0,0
river-of-light-25,804,0,0,48,365,43,14,407,0,0,0,0,0
rolling,850,0,0,0,0,573,56,5,51,285,4,0,0
rondo,533,79,27,94,44,0,0,0,0,0,23,198,116
rose-pillow-25,500,68,491,0,0,0,0,0,0,0,0,0,0
roundabout,665,61,173,290,3,0,0,0,0,0,0,0,256
sacred-grove-25,576,0,0,0,0,0,0,0,552,237,7,0,0
sad-eyes-25,621,0,0,63,2,0,0,0,2,295,520,1,0
sanctuary-25,631,0,0,0,0,0,0,0,0,4,624,8,0
sapphire-dreams-25,542,0,0,0,0,5,7,11,233,382,69,0,0
satin-ends-25,509,0,0,0,0,5,14,3,21,122,180,31,169
scarlet-admiral-25,498,0,236,404,186,0,0,0,0,0,0,0,0
scattering-25,675,0,10,564,318,0,0,0,0,0,0,0,0
sci-fi-new-worlds-alien-fiction-selection-earth-space-planets-393423,485,0,0,0,79,133,22,149,268,1,0,0,0
scifi-my-current-lol-1652484,545,0,0,0,1,0,0,0,533,49,1,0,0
seaweed-25,645,0,0,0,0,0,385,461,198,0,0,0,0
seismic,804,82,300,2,0,0,0,0,0,0,399,123,88
shadalu,579,0,111,563,222,0,0,0,0,0,0,0,0
shaki,438,3,34,49,244,24,0,0,0,5,14,60,5
shartook,404,0,0,37,399,1,0,0,0,0,0,0,0
sholmes,507,59,272,137,4,0,0,0,0,0,0,99,69
silk-scarves-25,502,0,18,270,470,4,0,0,0,0,0,0,0
singularity-25,563,0,0,0,0,0,131,388,368,0,0,0,0
skyroads-25,659,0,0,0,0,0,10,648,304,0,0,0,0
skyroads-blue-25,911,0,0,0,0,0,0,0,1,8,904,14,5
skyward-25,388,19,21,63,131,0,0,0,0,0,76,106,13
sleeper-25,280,0,0,0,5,3,1,128,245,3,1,0,0
smokey-green-25,486,0,0,0,0,28,484,1,0,0,0,0,0
smooth-sailing-25,482,65,207,0,0,0,0,0,0,231,103,2,6
solipstic,569,0,4,374,152,0,0,0,0,110,43,0,3
sparks,749,42,72,65,6,0,0,0,0,0,127,391,183
sparx-25,806,0,0,0,4,798,4,0,0,0,0,0,0
spirit-of-the-dream-25,79,16,29,0,0,0,0,0,0,29,12,0,2
spring,428,121,77,36,188,1,0,0,0,0,0,0,72
stained_glass,383,5,11,80,329,1,0,0,0,0,0,0,8
standard-25,545,63,256,30,1,0,0,0,0,0,114,143,52
strange-creature-25,566,1,532,295,8,0,0,0,0,0,0,0,1
summer,453,0,0,0,0,334,292,6,0,0,0,0,0
summer-dusk-25,521,0,0,0,102,28,9,40,52,153,258,0,0
sun-god-25,634,0,29,608,118,0,0,0,0,0,0,0,0
sun-kissed-25,557,57,205,13,106,184,60,0,0,0,0,5,2
sunsets-wake-25,469,0,21,435,86,5,0,0,0,0,0,0,0
taladee,619,49,72,224,143,3,0,0,0,0,3,68,121
tapestry-25,572,0,20,189,355,233,1,0,0,0,0,0,0
technology-25,560,0,0,0,503,103,0,0,0,6,3,0,0
ten-leaf-clover-25,655,0,0,0,0,0,261,506,35,153,2,0,0
terrain,492,0,1,8,97,138,237,5,4,19,45,0,0
tethered,536,0,29,163,23,235,204,18,1,0,0,0,0
the-four-quarters-25,473,0,2,193,127,49,116,76,0,0,0,0,0
the-outsiders-25,537,1,6,57,332,0,0,1,0,0,214,14,4
the_light_fantastic,530,0,0,0,0,0,0,0,7,524,37,0,0
tictac,582,0,0,0,0,0,1,197,382,203,67,0,0
to-the-bone-25,537,0,0,0,32,5,2,44,117,265,197,29,0
torment-of-the-skies-25,679,0,0,0,0,0,0,0,1,613,587,1,0
torque-25,584,12,361,48,0,0,0,0,55,185,3,0,1
touch,610,0,324,594,2,0,0,0,0,0,0,0,0
toxic-spire-25,735,0,0,1,279,410,452,0,0,0,0,0,0
trade-winds-25,476,1,203,372,186,6,0,0,0,0,0,0,1
transcendence-25,916,0,0,0,0,0,0,4,300,559,573,0,0
tri-state,525,279,199,130,4,0,0,0,0,0,0,0,37
triangulate-25,548,0,83,382,70,0,0,0,1,148,3,0,0
triglandal,623,522,20,0,70,56,0,1,0,0,0,0,99
turbo,435,0,71,78,40,79,35,5,6,13,68,13,0
twilight,391,83,46,9,0,0,0,0,0,30,121,146,33
twilight_shifted,224,30,32,3,0,0,0,0,0,4,64,140,13
under-a-brighter-sky-25,563,0,0,0,0,0,0,2,552,21,3,0,0
unfolding-creation-25,487,0,7,0,118,449,77,0,0,0,0,0,0
variations-on-a-floorplan-25,539,51,74,17,0,0,0,0,0,184,132,108,35
vibe-25,524,8,35,260,6,0,0,0,0,215,17,2,1
viridis,454,0,0,0,0,120,249,38,6,26,18,58,2
visionary-spires-25,720,0,0,0,0,0,0,1,479,516,6,0,0
visions-25,1379,0,0,0,0,0,0,0,0,1,28,1363,2
vitality-25,540,0,175,520,84,0,0,0,0,4,0,0,0
wallhaven_wallhaven-0125mv,465,66,5,0,0,0,11,48,4,5,31,136,213
wallhaven_wallhaven-0w8gpp,768,0,0,0,0,0,0,0,755,712,1,0,0
wallhaven_wallhaven-1jo7vv,448,10,443,9,1,0,0,0,0,0,0,0,0
wallhaven_wallhaven-1joljg,961,282,950,29,1,0,0,0,0,0,0,0,1
wallhaven_wallhaven-2ex5zg,1188,0,0,0,0,0,0,0,0,0,1155,461,0
wallhaven_wallhaven-398e39,949,0,0,0,0,0,0,0,0,0,828,587,12
wallhaven_wallhaven-39lg2d,705,0,0,0,0,0,1,244,678,12,0,0,0
wallhaven_wallhaven-3z1jkd,697,501,0,0,0,0,0,0,0,0,0,95,320
wallhaven_wallhaven-422xr6,650,27,137,0,3,1,1,0,45,140,417,10,6
wallhaven_wallhaven-45pqz1,662,54,0,0,0,0,0,0,0,0,2,12,652
wallhaven_wallhaven-47xzoe,663,269,270,33,0,0,0,0,0,0,6,95,189
wallhaven_wallhaven-4omjp5,633,0,0,0,0,0,3,15,477,425,0,0,0
wallhaven_wallhaven-4xy8el,719,0,0,0,0,0,0,0,5,683,246,0,0
wallhaven_wallhaven-5dpzz5,626,0,0,0,0,0,0,0,126,51,62,390,80
wallhaven_wallhaven-6d3zz6,821,118,703,301,17,0,0,0,0,0,0,1,1
wallhaven_wallhaven-8xz1mk,641,2,634,47,1,0,0,0,0,0,0,0,0
wallhaven_wallhaven-95k3qx,453,0,0,0,0,0,0,0,385,229,29,0,0
wallhaven_wallhaven-d67kpg,752,0,0,0,0,0,0,140,641,386,7,0,0
wallhaven_wallhaven-d6yv9m,601,8,578,33,2,0,0,0,0,16,6,1,0
wallhaven_wallhaven-dg6v93,743,0,0,0,0,0,0,0,0,0,555,369,70
wallhaven_wallhaven-dped2l,431,0,0,0,0,1,0,0,197,409,3,0,0
wallhaven_wallhaven-e7v1ll,520,304,0,0,0,0,0,0,0,1,70,49,319
wallhaven_wallhaven-g8ev1l,827,0,0,0,0,0,0,0,0,0,815,549,0
wallhaven_wallhaven-g8p1ol,533,0,0,0,0,0,0,189,509,150,0,0,0
wallhaven_wallhaven-k97v5q,611,0,1,33,128,2,0,0,2,0,193,395,0
wallhaven_wallhaven-kwg7v6,713,188,707,1,0,0,0,0,0,0,0,0,0
wallhaven_wallhaven-m9v5l9,667,0,0,0,0,0,0,5,573,406,1,0,0
wallhaven_wallhaven-nm6938,469,0,0,0,0,0,65,171,326,130,2,0,0
wallhaven_wallhaven-nrl8ym,415,2,100,305,161,2,0,0,0,0,3,0,0
wallhaven_wallhaven-oxgk7p,576,0,518,353,2,1,1,0,0,0,0,0,0
wallhaven_wallhaven-oxxve5,616,0,469,561,61,0,0,0,0,0,0,0,0
wallhaven_wallhaven-vg1rzm,1408,0,0,0,0,0,0,0,0,0,802,1399,8
wallhaven_wallhaven-we6oqp,426,0,88,390,5,0,0,0,0,0,0,0,0
wallhaven_wallhaven-xl8gmd,522,0,423,173,18,5,12,1,0,0,0,0,0
wallhaven_wallhaven-ym8rqk,996,0,0,0,0,0,0,0,200,477,702,0,0
wallhaven_wallhaven-yxlvkk,524,41,0,0,0,0,0,0,0,0,0,113,509
wallhaven_wallhaven-zxv17j,961,0,0,0,0,0,0,0,0,0,21,951,1
wallpaper-supernova,517,3,276,7,0,0,0,266,44,0,0,0,0
waltzing-in-shadows-25,448,0,0,2,255,29,4,0,0,128,103,0,0
warp-angels-25,533,1,22,1,0,0,0,0,0,0,376,354,4
watercolours-in-the-rain-25,660,0,0,0,0,0,1,194,275,196,264,0,0
watersprite-25,766,0,0,0,0,0,0,0,9,554,562,0,0
western-winds-25,393,0,0,17,142,1,0,0,5,35,230,5,1
wheelance,613,256,61,89,253,0,0,0,0,0,0,0,20
whispers-on-golden-sand-25,606,0,0,83,0,0,0,0,19,190,420,5,0
windy-peak-25,490,1,22,14,0,0,0,0,0,0,427,77,4
winter,577,0,0,0,0,0,58,143,63,50,340,0,0
within-25,600,0,0,1,343,26,32,42,239,0,0,0,0
xelan-25,554,0,0,18,429,73,87,6,0,0,0,0,0
xuahakin,506,57,32,14,272,21,11,1,0,0,1,3,28
zhgiu1cypaac1,458,2,1,3,163,0,0,1,58,158,19,30,97
